!!SBtab SBtabVersion='1.0' TableType='Quantity'
!QuantityType	!Reaction:SBML:reaction:id	!Compound:SBML:species:id	!Median	!Unit	!Mean	!Std	!logMean	!logStd
standard chemical potential		GlcX	-23.925875366	kJ/mol	-23.925875366	66.1692601349		
concentration		GlcX	0.0241668687276	mM	0.0789837354813	0.245759479629	-3.72277264468	1.53899923131
chemical potential		GlcX	-33.2112148964	kJ/mol	-33.2112148964	66.2794322605		
standard chemical potential		Glc	-0.404573486951	kJ/mol	-0.404573486951	1.12148012791		
concentration		Glc	0.932059069504	mM	0.934531735694	0.068117378182	-0.0703590870092	0.0727927802037
chemical potential		Glc	-0.58006312177	kJ/mol	-0.58006312177	1.13599727658		
standard chemical potential		ATP	-876.845900874	kJ/mol	-876.845900874	500.000839756		
concentration		ATP	0.0247197037113	mM	0.061711382865	0.141159147419	-3.70015463225	1.35267716359
chemical potential		ATP	-886.074826558	kJ/mol	-886.074826558	500.008445471		
standard chemical potential		G6P	-0.202992228455	kJ/mol	-0.202992228455	0.667267185379		
concentration		G6P	0.0584553289846	mM	0.14579605548	0.333129098642	-2.83949242354	1.35199549514
chemical potential		G6P	-7.28525423125	kJ/mol	-7.28525423125	3.42883355003		
standard chemical potential		ADP	-876.941611892	kJ/mol	-876.941611892	500.000653774		
concentration		ADP	0.0264672265182	mM	0.0564251762218	0.106237513557	-3.63184804654	1.23045374832
chemical potential		ADP	-886.00016729	kJ/mol	-886.00016729	500.006305738		
standard chemical potential		F6P	-0.183287624002	kJ/mol	-0.183287624002	0.840391782496		
concentration		F6P	0.0276490042682	mM	0.0794693450183	0.214142173325	-3.58816556366	1.45312190454
chemical potential		F6P	-9.13289017289	kJ/mol	-9.13289017289	3.71124922187		
standard chemical potential		FBP	-0.0703748443209	kJ/mol	-0.0703748443209	0.885630734171		
concentration		FBP	0.018758547929	mM	0.0547908837015	0.150364375962	-3.9761057409	1.46415455893
chemical potential		FBP	-9.98757778328	kJ/mol	-9.98757778328	3.74841666013		
standard chemical potential		GAP	0.00613906652214	kJ/mol	0.00613906652214	0.567945006074		
concentration		GAP	0.0396251847237	mM	0.101626727773	0.240013162691	-3.228290385	1.37247344251
chemical potential		GAP	-8.04586281174	kJ/mol	-8.04586281174	3.46113791954		
standard chemical potential		DHAP	-0.0467067548694	kJ/mol	-0.0467067548694	0.567231153704		
concentration		DHAP	0.052584113552	mM	0.133551998189	0.311793852733	-2.94534122858	1.36534014161
chemical potential		DHAP	-7.3929768472	kJ/mol	-7.3929768472	3.44351692069		
standard chemical potential		NAD	-876.93246791	kJ/mol	-876.93246791	612.373238771		
concentration		NAD	0.0195001418588	mM	0.054863945649	0.144281410569	-3.93733353863	1.43835646814
chemical potential		NAD	-886.752965222	kJ/mol	-886.752965222	612.379139551		
standard chemical potential		BPG	0.0725385518332	kJ/mol	0.0725385518332	0.789416764328		
concentration		BPG	0.0252789470009	mM	0.0743178548949	0.205459997202	-3.67778336402	1.46859069589
chemical potential		BPG	-9.1005887147	kJ/mol	-9.1005887147	3.73764335837		
standard chemical potential		NADH	-876.985507712	kJ/mol	-876.985507712	612.373238771		
concentration		NADH	0.0341133116104	mM	0.0959783209608	0.252404149363	-3.37806760106	1.43835646814
chemical potential		NADH	-885.411083923	kJ/mol	-885.411083923	612.379139551		
