~ Source:
~     https://en.wikipedia.org/wiki/List_of_colors:_A-F
~     https://en.wikipedia.org/wiki/List_of_colors:_G-M
~     https://en.wikipedia.org/wiki/List_of_colors:_N-Z
~
name	hex	r	g	b	hue	hsl_sat	hsl_light	hsv_sat	hsv_light
Light Grayish Magenta	#CC99CC	80%	60%	80%	300°	33%	70%	25%	80%
Light Green	#90EE90	56%	93%	56%	120°	73%	75%	39%	93%
Light Hot Pink	#FFB3DE	100%	70%	87%	326°	100%	85%	30%	100%
Light Khaki	#F0E68C	94%	90%	55%	54°	77%	75%	42%	94%
Light Medium Orchid	#D39BCB	83%	61%	80%	309°	39%	72%	27%	83%
Light Moss Green	#ADDFAD	68%	87%	68%	120°	44%	78%	22%	87%
Light Orange	#FED8B1	100%	85%	69%	30°	98%	85%	30%	100%
Light Orchid	#E6A8D7	90%	66%	84%	315°	55%	78%	27%	90%
Light Pastel Purple	#B19CD9	69%	61%	85%	261°	45%	73%	28%	85%
Light Periwinkle	#C5CBE1	77%	80%	88%	228°	32%	83%	12%	88%
Light Pink	#FFB6C1	100%	71%	76%	351°	100%	86%	29%	100%
Light Red	#FFCCCB	100%	80%	80%	2°	100%	90%	20%	100%
Light Red Ochre	#E97451	91%	45%	32%	14°	78%	62%	65%	91%
Light Salmon	#FFA07A	100%	63%	48%	17°	100%	74%	52%	100%
Light Salmon Pink	#FF9999	100%	60%	60%	0°	100%	80%	40%	100%
Light Sea Green	#20B2AA	13%	70%	67%	177°	70%	41%	82%	70%
Light Silver	#D8D8D8	85%	85%	85%	60°	0%	85%	0%	85%
Light Sky Blue	#87CEFA	53%	81%	98%	203°	92%	75%	46%	98%
Light Slate Gray	#778899	47%	53%	60%	210°	14%	53%	22%	60%
Light Steel Blue	#B0C4DE	69%	77%	87%	214°	41%	78%	21%	87%
Light Taupe	#B38B6D	70%	55%	43%	26°	32%	56%	39%	70%
Light Thulian Pink	#E68FAC	90%	56%	67%	340°	64%	73%	38%	90%
Light Yellow	#FFFFE0	100%	100%	88%	60°	100%	94%	12%	100%
Lilac	#C8A2C8	78%	64%	78%	300°	26%	71%	19%	78%
Lilac Luster	#AE98AA	68%	60%	67%	311°	12%	64%	13%	68%
Lime (Color Wheel)	#BFFF00	75%	100%	0%	75°	100%	50%	100%	100%
Lime (Web) (X11 Green)	#00FF00	0%	100%	0%	120°	100%	50%	100%	100%
Lime Green	#32CD32	20%	80%	20%	120°	61%	50%	76%	80%
Limerick	#9DC209	62%	76%	4%	72°	91%	40%	95%	76%
Lincoln Green	#195905	10%	35%	2%	106°	89%	18%	94%	35%
Linen	#FAF0E6	98%	94%	90%	30°	67%	94%	8%	98%
Lion	#C19A6B	76%	60%	42%	33°	41%	59%	45%	76%
Liseran Purple	#DE6FA1	87%	44%	63%	333°	63%	65%	50%	87%
Little Boy Blue	#6CA0DC	42%	63%	86%	212°	62%	64%	51%	86%
Little Girl Pink	#F8B9D4	97%	73%	83%	334°	82%	85%	25%	97%
Liver	#674C47	40%	30%	28%	9°	18%	34%	31%	40%
Liver (Dogs)	#B86D29	72%	43%	16%	29°	64%	44%	78%	72%
Liver (Organ)	#6C2E1F	42%	18%	12%	12°	55%	27%	71%	42%
Liver Chestnut	#987456	60%	45%	34%	27°	28%	47%	43%	60%
Livid	#6699CC	40%	60%	80%	210°	50%	60%	50%	80%
Lotion	#FEFDFA	100%	100%	98%	45°	100%	99%	2%	100%
Lumber	#FFE4CD	100%	89%	80%	28°	100%	90%	20%	100%
Lust	#E62020	90%	13%	13%	0°	80%	51%	86%	90%
Maastricht Blue	#001C3D	0%	11%	24%	212°	100%	12%	100%	24%
Macaroni And Cheese	#FFBD88	100%	74%	53%	27°	100%	77%	47%	100%
Madder Lake	#CC3336	80%	20%	21%	359°	60%	50%	75%	80%
Magenta	#FF00FF	100%	0%	100%	300°	100%	50%	100%	100%
Magenta (Crayola)	#FF55A3	100%	33%	64%	332°	100%	67%	67%	100%
Magenta (Dye)	#CA1F7B	79%	12%	48%	328°	73%	46%	85%	79%
Magenta (Pantone)	#D0417E	82%	25%	49%	334°	60%	54%	69%	82%
Magenta (Process)	#FF0090	100%	0%	56%	326°	100%	50%	100%	100%
Magenta Haze	#9F4576	62%	27%	46%	327°	39%	45%	57%	62%
Magenta-Pink	#CC338B	80%	20%	55%	325°	60%	50%	75%	80%
Magic Mint	#AAF0D1	67%	94%	82%	153°	70%	80%	29%	94%
Magic Potion	#FF4466	100%	27%	40%	349°	100%	63%	73%	100%
Magnolia	#F8F4FF	97%	96%	100%	262°	100%	98%	4%	100%
Mahogany	#C04000	75%	25%	0%	20°	100%	38%	100%	75%
Maize	#FBEC5D	98%	93%	36%	54°	95%	67%	63%	98%
Maize (Crayola)	#F2C649	95%	78%	29%	44°	87%	62%	70%	95%
Majorelle Blue	#6050DC	38%	31%	86%	247°	67%	59%	64%	86%
Malachite	#0BDA51	4%	85%	32%	140°	90%	45%	95%	85%
Manatee	#979AAA	59%	60%	67%	231°	10%	63%	11%	67%
Mandarin	#F37A48	95%	48%	28%	18°	88%	62%	70%	95%
Mango Green	#96FF00	59%	100%	0%	85°	100%	50%	100%	100%
Mango Tango	#FF8243	100%	51%	26%	20°	100%	63%	74%	100%
Mantis	#74C365	45%	76%	40%	110°	44%	58%	48%	76%
Mardi Gras	#880085	53%	0%	52%	301°	100%	27%	100%	53%
Marigold	#EAA221	92%	64%	13%	39°	83%	52%	85%	91%
Maroon (Crayola)	#C32148	76%	13%	28%	346°	71%	45%	83%	76%
Maroon (HTML/CSS)	#800000	50%	0%	0%	0°	100%	25%	100%	50%
Maroon (X11)	#B03060	69%	19%	38%	338°	57%	44%	73%	69%
Mauve	#E0B0FF	88%	69%	100%	276°	100%	85%	31%	100%
Mauve Taupe	#915F6D	57%	37%	43%	343°	21%	47%	34%	57%
Mauvelous	#EF98AA	94%	60%	67%	348°	73%	77%	36%	94%
Maximum Blue	#47ABCC	28%	67%	80%	195°	57%	54%	65%	80%
Maximum Blue Green	#30BFBF	19%	75%	75%	180°	60%	47%	75%	75%
Maximum Blue Purple	#ACACE6	67%	67%	90%	240°	54%	79%	25%	90%
Maximum Green	#5E8C31	37%	55%	19%	90°	48%	37%	65%	55%
Maximum Green Yellow	#D9E650	85%	90%	31%	65°	75%	61%	65%	90%
Maximum Purple	#733380	45%	20%	50%	290°	43%	35%	60%	50%
Maximum Red	#D92121	85%	13%	13%	0°	74%	49%	85%	85%
Maximum Red Purple	#A63A79	65%	23%	47%	325°	48%	44%	65%	65%
Maximum Yellow	#FAFA37	98%	98%	22%	60°	95%	60%	78%	98%
Maximum Yellow Red	#F2BA49	95%	73%	29%	40°	87%	62%	70%	95%
May Green	#4C9141	30%	57%	25%	112°	38%	41%	55%	57%
Maya Blue	#73C2FB	45%	76%	98%	205°	94%	72%	54%	98%
Meat Brown	#E5B73B	90%	72%	23%	44°	77%	56%	74%	90%
Medium Aquamarine	#66DDAA	40%	87%	67%	154°	64%	63%	54%	87%
Medium Blue	#0000CD	0%	0%	80%	240°	100%	40%	100%	80%
Medium Candy Apple Red	#E2062C	89%	2%	17%	350°	95%	45%	97%	89%
Medium Carmine	#AF4035	69%	25%	21%	5°	54%	45%	70%	69%
Medium Champagne	#F3E5AB	95%	90%	67%	48°	75%	81%	30%	95%
Medium Electric Blue	#035096	1%	31%	59%	209°	96%	30%	98%	59%
Medium Jungle Green	#1C352D	11%	21%	18%	161°	31%	16%	47%	21%
Medium Lavender Magenta	#DDA0DD	87%	63%	87%	300°	47%	75%	28%	87%
Medium Orchid	#BA55D3	73%	33%	83%	288°	59%	58%	60%	83%
Medium Persian Blue	#0067A5	0%	40%	65%	203°	100%	32%	100%	65%
Medium Purple	#9370DB	58%	44%	86%	260°	60%	65%	49%	86%
Medium Red-Violet	#BB3385	73%	20%	52%	324°	57%	47%	73%	73%
Medium Ruby	#AA4069	67%	25%	41%	337°	45%	46%	62%	67%
Medium Sea Green	#3CB371	24%	70%	44%	147°	50%	47%	66%	70%
Medium Sky Blue	#80DAEB	50%	85%	92%	190°	73%	71%	46%	92%
Medium Slate Blue	#7B68EE	48%	41%	93%	249°	80%	67%	56%	93%
Medium Spring Bud	#C9DC87	79%	86%	53%	73°	55%	70%	39%	86%
Medium Spring Green	#00FA9A	0%	98%	60%	157°	100%	49%	100%	98%
Medium Taupe	#674C47	40%	30%	28%	9°	18%	34%	31%	40%
Medium Turquoise	#48D1CC	28%	82%	80%	178°	60%	55%	66%	82%
Medium Tuscan Red	#79443B	47%	27%	23%	9°	34%	35%	51%	47%
Medium Vermilion	#D9603B	85%	38%	23%	14°	68%	54%	73%	85%
Medium Violet-Red	#C71585	78%	8%	52%	322°	81%	43%	89%	78%
Mellow Apricot	#F8B878	97%	72%	47%	30°	90%	72%	52%	97%
Mellow Yellow	#F8DE7E	97%	87%	49%	47°	90%	73%	49%	97%
Melon	#FDBCB4	99%	74%	71%	7°	95%	85%	29%	99%
Menthol	#C1F9A2	76%	98%	64%	99°	88%	81%	35%	98%
Metallic Blue	#32527B	20%	32%	48%	214°	42%	34%	59%	48%
Metallic Bronze	#A97142	66%	44%	26%	27°	44%	46%	61%	66%
Metallic Brown	#AC4313	67%	26%	7%	19°	80%	38%	89%	67%
Metallic Gold	#A97142	83%	69%	22%	46°	64%	52%	74%	83%
Metallic Green	#296E01	16%	43%	0%	98°	98%	22%	99%	43%
Metallic Orange	#DA680F	85%	41%	6%	26°	87%	46%	93%	85%
Metallic Pink	#EDA6C4	93%	65%	77%	335°	66%	79%	30%	93%
Metallic Red	#A62C2B	65%	17%	17%	0°	59%	41%	74%	65%
Metallic Seaweed	#0A7E8C	4%	49%	55%	186°	87%	29%	93%	55%
Metallic Silver	#A8A9AD	66%	66%	68%	228°	3%	67%	3%	68%
Metallic Sunburst	#9C7C38	61%	49%	22%	41°	47%	42%	64%	61%
Metallic Violet	#5B0A91	35%	4%	57%	276°	87%	30%	93%	57%
Metallic Yellow	#FDCC0D	99%	80%	5%	48°	98%	52%	95%	99%
Mexican Pink	#E4007C	89%	0%	49%	327°	100%	45%	100%	89%
Middle Blue	#7ED4E6	49%	83%	90%	190°	68%	70%	212%	230%
Middle Blue Green	#8DD9CC	55%	85%	80%	170°	50%	70%	35%	85%
Middle Blue Purple	#8B72BE	55%	45%	75%	260°	37%	60%	40%	75%
Middle Grey	#8B8680	55%	53%	50%	33°	5%	52%	8%	55%
Middle Green	#4D8C57	30%	55%	34%	130°	29%	43%	45%	55%
Middle Green Yellow	#ACBF60	67%	75%	38%	72°	43%	56%	50%	75%
Middle Purple	#D982B5	85%	51%	71%	325°	53%	68%	40%	85%
Middle Red	#E58E73	90%	56%	45%	15°	69%	68%	50%	90%
Middle Red Purple	#A55353	65%	33%	33%	0°	33%	49%	83%	83%
Middle Yellow	#FFEB00	100%	92%	0%	55°	100%	50%	100%	100%
Middle Yellow Red	#ECB176	93%	69%	46%	30°	76%	69%	128%	236%
Midnight	#702670	44%	15%	44%	300°	49%	29%	66%	44%
Midnight Blue	#191970	10%	10%	44%	240°	64%	27%	78%	44%
Midnight Blue	#00468C	0%	27%	55%	210°	100%	28%	100%	55%
Midnight Green (Eagle Green)	#004953	0%	29%	33%	187°	100%	16%	100%	33%
Mikado Yellow	#FFC40C	100%	77%	5%	45°	100%	52%	95%	100%
Milk	#FDFFF5	99%	100%	96%	72°	100%	98%	4%	100%
Milk Chocolate	#84563C	52%	34%	24%	22°	38%	38%	55%	52%
Mimi Pink	#FFDAE9	100%	85%	91%	336°	100%	93%	15%	100%
Mindaro	#E3F988	89%	98%	53%	72°	90%	75%	45%	98%
Ming	#36747D	21%	45%	49%	188°	40%	35%	56%	49%
Minion Yellow	#F5E050	96%	86%	31%	52°	89%	64%	67%	96%
Mint	#3EB489	24%	71%	54%	158°	49%	47%	66%	71%
Mint Cream	#F5FFFA	96%	100%	98%	150°	100%	98%	4%	100%
Mint Green	#98FF98	60%	100%	60%	120°	100%	80%	40%	100%
Misty Moss	#BBB477	73%	71%	47%	54°	33%	60%	36%	73%
Misty Rose	#FFE4E1	100%	89%	88%	6°	100%	94%	12%	100%
Moccasin	#FAEBD7	98%	92%	84%	34°	78%	91%	14%	98%
Mode Beige	#967117	59%	44%	9%	43°	73%	34%	85%	59%
Moonstone	#3AA8C1	23%	66%	76%	191°	54%	49%	70%	76%
Moonstone Blue	#73A9C2	45%	66%	76%	199°	39%	61%	41%	76%
Mordant Red 19	#AE0C00	68%	5%	0%	4°	100%	34%	100%	68%
Morning Blue	#8DA399	55%	64%	60%	153°	11%	60%	14%	64%
Moss Green	#8A9A5B	54%	60%	36%	75°	26%	48%	41%	60%
Mountain Meadow	#30BA8F	19%	73%	56%	161°	59%	46%	74%	73%
Mountbatten Pink	#997A8D	60%	48%	55%	323°	13%	54%	20%	60%
MSU Green	#18453B	9%	27%	23%	167°	48%	18%	65%	27%
Mud	#70543E	44%	33%	24%	26°	29%	34%	45%	44%
Mughal Green	#306030	19%	38%	19%	120°	33%	28%	50%	38%
Mulberry	#C54B8C	77%	29%	55%	328°	51%	53%	62%	77%
Mulberry (Crayola)	#C8509B	78%	31%	61%	323°	52%	55%	60%	78%
Mummy's Tomb	#828E84	51%	56%	52%	130°	5%	53%	9%	56%
Mustard	#FFDB58	100%	86%	35%	47°	100%	67%	65%	100%
Mustard Brown	#CD7A00	80%	48%	0%	36°	100%	40%	100%	80%
Mustard Green	#6E6E30	43%	43%	19%	60°	39%	31%	56%	43%
Mustard Yellow	#E1AD01	100%	68%	0%	46°	100%	50%	100%	88%
Myrtle Green	#317873	19%	47%	45%	176°	42%	33%	59%	47%
Mystic	#D65282	84%	32%	51%	338°	62%	58%	62%	84%
Mystic Maroon	#AD4379	68%	26%	47%	329°	44%	47%	62%	68%
Mystic Red	#FF5500	100%	13%	0%	20°	100%	50%	100%	50%
Nadeshiko Pink	#F6ADC6	96%	68%	78%	339°	80%	82%	30%	96%
Napier Green	#2A8000	16%	50%	0%	100°	100%	25%	100%	50%
Naples Yellow	#FADA5E	98%	85%	37%	48°	94%	67%	62%	98%
Navajo White	#FFDEAD	100%	87%	68%	36°	100%	84%	32%	100%
Navy	#000080	0%	0%	50%	240°	100%	25%	100%	50%
Navy Blue	#000080	0%	0%	50%	240°	100%	25%	100%	50%
Navy Blue (Crayola)	#1974D2	10%	45%	82%	210°	79%	46%	88%	82%
Navy Purple	#9457EB	58%	34%	92%	265°	79%	63%	63%	92%
Neon Blue	#1B03A3	11%	1%	64%	250°	96%	33%	98%	64%
Neon Brown	#C3732A	76%	45%	16%	180°	65%	47%	100%	100%
Neon Carrot	#FFA343	100%	64%	26%	31°	100%	63%	74%	100%
Neon Cyan	#00FEFC	0%	100%	99%	29°	100%	50%	78%	76%
Neon Fuchsia	#FE4164	100%	25%	39%	349°	99%	63%	74%	100%
Neon Gold	#CFAA01	81%	67%	0%	49°	99%	41%	100%	81%
Neon Gray	#808080	50%	50%	50%	0°	0%	50%	0%	50%
Neon Green	#39FF14	22%	100%	8%	111°	100%	54%	92%	100%
Neon Pink	#FE347E	100%	20%	49%	338°	99%	60%	80%	100%
Neon Purple	#9457EB	58%	34%	92%	265°	79%	63%	63%	92%
Neon Red	#FF1818	100%	9%	9%	0°	100%	55%	91%	100%
Neon Scarlet	#FF2603	100%	15%	1%	8°	100%	51%	99%	100%
Neon Silver	#CCCCCC	80%	80%	80%	60°	0%	80%	0%	80%
Neon Tangerine	#F6890A	96%	54%	4%	32°	93%	50%	96%	96%
Neon Yellow	#FFF700	100%	97%	0%	58°	100%	50%	100%	100%
New Car	#214FC6	13%	31%	78%	223°	71%	45%	83%	78%
New York Pink	#D7837F	84%	51%	50%	3°	52%	67%	41%	84%
Nickel	#727472	45%	45%	45%	120°	1%	45%	2%	46%
Non-Photo Blue	#A4DDED	64%	87%	93%	193°	67%	79%	31%	93%
North Texas Green	#059033	2%	56%	20%	140°	93%	29%	97%	56%
Nyanza	#E9FFDB	91%	100%	86%	97°	100%	93%	14%	100%
Ocean Blue	#4F42B5	31%	26%	71%	247°	47%	48%	64%	71%
Ocean Boat Blue	#0077BE	0%	47%	75%	202°	100%	37%	100%	75%
Ocean Green	#48BF91	28%	75%	57%	157°	48%	52%	62%	75%
Ochre	#CC7722	80%	47%	13%	30°	71%	47%	83%	80%
Office Green	#008000	0%	50%	0%	120°	100%	25%	100%	50%
Ogre Odor	#FD5240	99%	32%	25%	6°	98%	62%	75%	99%
Old Burgundy	#43302E	26%	19%	18%	6°	19%	22%	31%	26%
Old Gold	#CFB53B	81%	71%	23%	49°	61%	52%	71%	81%
Old Heliotrope	#563C5C	34%	24%	36%	289°	21%	30%	35%	36%
Old Lace	#FDF5E6	99%	96%	90%	39°	85%	95%	9%	99%
Old Lavender	#796878	47%	41%	47%	304°	8%	44%	14%	47%
Old Mauve	#673147	40%	19%	28%	336°	36%	30%	52%	40%
Old Moss Green	#867E36	53%	49%	21%	54°	43%	37%	60%	53%
Old Rose	#C08081	75%	50%	51%	359°	34%	63%	33%	75%
Old Silver	#848482	52%	52%	51%	60°	1%	51%	2%	52%
Olive	#808000	50%	50%	0%	60°	100%	25%	100%	50%
Olive Drab (#3)	#6B8E23	42%	56%	14%	80°	60%	35%	75%	56%
Olive Drab #7	#3C341F	24%	20%	12%	43°	32%	18%	48%	24%
Olivine	#9AB973	60%	73%	45%	87°	33%	59%	38%	73%
Onyx	#353839	21%	22%	22%	195°	4%	22%	7%	22%
Opal	#A8C3BC	66%	76%	74%	164°	18%	71%	14%	76%
Opera Mauve	#B784A7	72%	52%	65%	319°	26%	62%	28%	72%
Orange (Color Wheel)	#FF7F00	100%	50%	0%	30°	100%	50%	100%	100%
Orange (Crayola)	#FF7538	100%	46%	22%	18°	100%	61%	78%	100%
Orange (Pantone)	#FF5800	100%	35%	0%	21°	100%	50%	100%	100%
Orange (RYB)	#FB9902	98%	60%	1%	36°	98%	50%	99%	98%
Orange (Web)	#FFA500	100%	65%	0%	39°	100%	50%	100%	100%
Orange Peel	#FF9F00	100%	62%	0%	37°	100%	50%	100%	100%
Orange-Red	#FF4500	100%	27%	0%	16°	100%	50%	100%	100%
Orange Soda	#FA5B3D	98%	36%	24%	10°	95%	61%	76%	98%
Orange-Yellow	#F8D568	97%	84%	41%	45°	91%	69%	58%	97%
Orchid	#DA70D6	85%	44%	84%	302°	59%	65%	49%	85%
Orchid Pink	#F2BDCD	95%	74%	80%	342°	67%	85%	22%	95%
Orioles Orange	#FB4F14	98%	31%	8%	15°	97%	53%	92%	98%
Otter Brown	#654321	40%	26%	13%	30°	51%	26%	67%	40%
Outer Space	#414A4C	25%	29%	30%	191°	8%	28%	14%	30%
Outrageous Orange	#FF6E4A	100%	43%	29%	12°	100%	65%	71%	100%
Oxblood	#800020	50%	0%	13%	345°	100%	25%	100%	50%
Oxford Blue	#002147	0%	13%	28%	212°	100%	14%	100%	28%
Oxley	#6D9A79	43%	60%	47%	136°	18%	52%	29%	60%
OU Crimson Red	#990000	60%	0%	0%	0°	100%	30%	100%	60%
Pacific Blue	#1CA9C9	11%	66%	79%	191°	76%	45%	86%	79%
Pakistan Green	#006600	0%	40%	0%	120°	100%	20%	100%	40%
Palatinate Blue	#273BE2	15%	23%	89%	234°	76%	52%	83%	89%
Palatinate Purple	#682860	41%	16%	38%	308°	44%	28%	62%	41%
Pale Aqua	#BCD4E6	74%	83%	90%	206°	46%	82%	18%	90%
Pale Blue	#AFEEEE	69%	93%	93%	180°	65%	81%	26%	93%
Pale Brown	#987654	60%	46%	33%	30°	29%	46%	45%	60%
Pale Carmine	#AF4035	69%	25%	21%	5°	54%	45%	70%	69%
Pale Cerulean	#9BC4E2	61%	77%	89%	205°	55%	75%	31%	89%
Pale Chestnut	#DDADAF	87%	68%	69%	358°	41%	77%	22%	87%
Pale Copper	#DA8A67	85%	54%	40%	18°	61%	63%	53%	85%
Pale Cornflower Blue	#ABCDEF	67%	80%	94%	210°	68%	80%	28%	94%
Pale Cyan	#87D3F8	53%	83%	97%	200°	89%	75%	46%	97%
Pale Gold	#E6BE8A	90%	75%	54%	34°	65%	72%	40%	90%
Pale Goldenrod	#EEE8AA	93%	91%	67%	55°	67%	80%	29%	93%
Pale Green	#98FB98	60%	98%	60%	120°	93%	79%	39%	98%
Pale Lavender	#DCD0FF	86%	82%	100%	255°	100%	91%	18%	100%
Pale Magenta	#F984E5	98%	52%	90%	310°	91%	75%	47%	98%
Pale Magenta-Pink	#FF99CC	100%	60%	80%	330°	100%	80%	40%	100%
Pale Pink	#FADADD	98%	85%	87%	354°	76%	92%	13%	98%
Pale Plum	#DDA0DD	87%	63%	87%	300°	47%	75%	28%	87%
Pale Red-Violet	#DB7093	86%	44%	58%	340°	60%	65%	49%	86%
Pale Robin Egg Blue	#96DED1	59%	87%	82%	169°	52%	73%	32%	87%
Pale Silver	#C9C0BB	79%	75%	73%	21°	11%	76%	7%	79%
Pale Spring Bud	#ECEBBD	93%	92%	74%	59°	55%	83%	20%	93%
Pale Taupe	#BC987E	74%	60%	49%	25°	32%	62%	33%	74%
Pale Turquoise	#AFEEEE	69%	93%	93%	180°	65%	81%	26%	93%
Pale Violet	#CC99FF	80%	60%	100%	270°	100%	80%	40%	100%
Pale Violet-Red	#DB7093	86%	44%	58%	340°	60%	65%	49%	86%
Palm Leaf	#6F9940	44%	60%	25%	88°	41%	43%	58%	60%
Pansy Purple	#78184A	47%	9%	29%	329°	67%	28%	80%	47%
Paolo Veronese Green	#009B7D	0%	61%	49%	168°	100%	30%	100%	61%
Papaya Whip	#FFEFD5	100%	94%	84%	37°	100%	92%	16%	100%
Paradise Pink	#E63E62	90%	24%	38%	347°	77%	57%	73%	90%
Paris Green	#50C878	31%	78%	47%	140°	52%	55%	60%	78%
Parrot Pink	#D998A0	85%	60%	63%	353°	46%	72%	30%	85%
Pastel Blue	#AEC6CF	68%	78%	81%	196°	26%	75%	16%	81%
Pastel Brown	#836953	51%	41%	33%	28°	22%	42%	37%	51%
Pastel Gray	#CFCFC4	81%	81%	77%	60°	10%	79%	5%	81%
Pastel Green	#77DD77	47%	87%	47%	120°	60%	67%	46%	87%
Pastel Magenta	#F49AC2	96%	60%	76%	333°	80%	78%	37%	96%
Pastel Orange	#FFB347	100%	70%	28%	35°	100%	64%	72%	100%
Pastel Pink	#DEA5A4	87%	65%	64%	1°	47%	76%	26%	87%
Pastel Purple	#B39EB5	70%	62%	71%	295°	13%	66%	13%	71%
Pastel Red	#FF6961	100%	41%	38%	3°	100%	69%	62%	100%
Pastel Violet	#CB99C9	80%	60%	79%	302°	32%	70%	25%	80%
Pastel Yellow	#FDFD96	99%	99%	59%	60°	96%	79%	41%	99%
Patriarch	#800080	50%	0%	50%	300°	100%	25%	100%	50%
Payne's Grey	#536878	33%	41%	47%	206°	18%	40%	31%	47%
Peach	#FFE5B4	100%	90%	71%	39°	100%	85%	29%	100%
Peach	#FFCBA4	100%	80%	64%	26°	100%	82%	36%	100%
Peach-Orange	#FFCC99	100%	80%	60%	30°	100%	80%	40%	100%
Peach Puff	#FFDAB9	100%	85%	73%	28°	100%	86%	27%	100%
Peach-Yellow	#FADFAD	98%	87%	68%	39°	89%	83%	31%	98%
Pear	#D1E231	82%	89%	19%	66°	75%	54%	78%	89%
Pearl	#EAE0C8	92%	88%	78%	42°	45%	85%	15%	92%
Pearl Aqua	#88D8C0	53%	85%	75%	162°	51%	69%	37%	85%
Pearly Purple	#B768A2	72%	41%	64%	316°	35%	56%	43%	72%
Peridot	#E6E200	90%	89%	0%	59°	100%	45%	100%	90%
Periwinkle	#CCCCFF	80%	80%	100%	240°	100%	90%	20%	100%
Periwinkle (Crayola)	#C3CDE6	76%	80%	90%	223°	41%	83%	15%	90%
Permanent Geranium Lake	#E12C2C	88%	17%	17%	0°	75%	53%	80%	88%
Persian Blue	#1C39BB	11%	22%	73%	229°	74%	42%	85%	73%
Persian Green	#00A693	0%	65%	58%	173°	100%	33%	100%	65%
Persian Indigo	#32127A	20%	7%	48%	258°	74%	27%	85%	48%
Persian Orange	#D99058	85%	56%	35%	26°	63%	60%	59%	85%
Persian Pink	#F77FBE	97%	50%	75%	329°	88%	73%	49%	97%
Persian Plum	#701C1C	44%	11%	11%	0°	60%	27%	75%	44%
Persian Red	#CC3333	80%	20%	20%	0°	60%	50%	75%	80%
Persian Rose	#FE28A2	100%	16%	64%	326°	99%	58%	84%	100%
Persimmon	#EC5800	93%	35%	0%	22°	100%	46%	100%	93%
Peru	#CD853F	80%	52%	25%	30°	59%	53%	69%	80%
Pewter Blue	#8BA8B7	55%	66%	72%	200°	23%	63%	24%	72%
Philippine Blue	#0038A7	0%	22%	65%	220°	100%	33%	100%	65%
Philippine Brown	#5D1916	36%	10%	9%	3°	62%	23%	76%	36%
Philippine Gold	#B17304	69%	45%	2%	38°	96%	36%	98%	69%
Philippine Golden Yellow	#FFDF00	99%	87%	9%	49°	98%	54%	91%	99%
Philippine Gray	#8C8C8C	55%	55%	55%	0°	0%	55%	0%	55%
Philippine Green	#008543	0%	52%	26%	150°	100%	26%	100%	52%
Philippine Orange	#FF7300	100%	45%	0%	27°	100%	50%	100%	100%
Philippine Pink	#FA1A8E	100%	10%	56%	330°	100%	55%	90%	98%
Philippine Red	#CE1127	81%	7%	15%	353°	85%	44%	92%	81%
Philippine Silver	#B3B3B3	70%	70%	70%	0°	0%	70%	0%	70%
Philippine Violet	#81007F	51%	0%	50%	301°	100%	25%	100%	51%
Philippine Yellow	#FECB00	100%	80%	0%	48°	100%	50%	100%	100%
Phlox	#DF00FF	87%	0%	100%	292°	100%	50%	100%	100%
Phthalo Blue	#000F89	0%	6%	54%	233°	100%	27%	100%	54%
Phthalo Green	#123524	7%	21%	14%	151°	49%	14%	66%	21%
Picton Blue	#45B1E8	27%	69%	91%	200°	78%	59%	70%	91%
Pictorial Carmine	#C30B4E	76%	4%	31%	338°	89%	40%	94%	76%
Piggy Pink	#FDDDE6	99%	87%	90%	343°	89%	93%	13%	99%
Pine Green	#01796F	0%	47%	44%	175°	98%	24%	99%	47%
Pine Tree	#2A2F23	16%	18%	14%	85°	15%	16%	26%	18%
Pineapple	#563C0D	34%	24%	5%	39°	74%	19%	35%	36%
Pink	#FFC0CB	100%	75%	80%	350°	100%	88%	25%	100%
Pink (Pantone)	#D74894	84%	28%	58%	328°	64%	56%	67%	84%
Pink Flamingo	#FC74FD	99%	45%	99%	300°	97%	72%	54%	99%
Pink Lace	#FFDDF4	100%	87%	96%	319°	100%	93%	13%	100%
Pink Lavender	#D8B2D1	85%	70%	82%	311°	33%	77%	18%	85%
Pink-Orange	#FF9966	100%	60%	40%	20°	100%	70%	60%	100%
Pink Pearl	#E7ACCF	91%	67%	81%	324°	55%	79%	26%	91%
Pink Raspberry	#980036	60%	0%	21%	339°	100%	30%	100%	60%
Pink Sherbet	#F78FA7	97%	56%	65%	346°	87%	76%	42%	97%
Pistachio	#93C572	58%	77%	45%	96°	42%	61%	42%	77%
Pixie Powder	#391285	22%	7%	52%	260°	76%	30%	87%	52%
Platinum	#E5E4E2	90%	89%	89%	40°	5%	89%	1%	90%
Plum	#8E4585	56%	27%	52%	307°	35%	41%	51%	56%
Plum (Web)	#DDA0DD	87%	63%	87%	300°	47%	75%	28%	87%
Plump Purple	#5946B2	35%	27%	70%	251°	44%	49%	61%	70%
Police Blue	#374F6B	22%	31%	42%	212°	32%	32%	49%	42%
Polished Pine	#5DA493	36%	64%	58%	166°	28%	50%	43%	64%
Pomp And Power	#86608E	53%	38%	56%	290°	19%	47%	32%	56%
Popstar	#BE4F62	75%	31%	38%	350°	46%	53%	58%	75%
Portland Orange	#FF5A36	100%	35%	21%	11°	100%	61%	79%	100%
Powder Blue	#B0E0E6	69%	88%	90%	187°	52%	80%	23%	90%
