~ Source:
~     https://en.wikipedia.org/wiki/List_of_colors:_A-F
~     https://en.wikipedia.org/wiki/List_of_colors:_G-M
~     https://en.wikipedia.org/wiki/List_of_colors:_N-Z
~
name	hex	r	g	b	hue	hsl_sat	hsl_light	hsv_sat	hsv_light
Absolute Zero	#0048BA	0%	28%	73%	217°	100%	37%	100%	73%
Acajou	#4C2F27	30%	18%	15%	65°	32%	23%	86%	75%
Acid Green	#B0BF1A	69%	75%	10%	65°	76%	43%	86%	75%
Aero	#7CB9E8	49%	73%	91%	206°	70%	70%	47%	91%
Aero Blue	#C9FFE5	79%	100%	90%	151°	100%	89%	21%	100%
African Violet	#B284BE	70%	52%	75%	288°	31%	63%	31%	75%
Air Force Blue (RAF)	#5D8AA8	36%	54%	66%	204°	30%	51%	45%	66%
Air Force Blue (USAF)	#00308F	0%	19%	56%	220°	100%	28%	100%	56%
Air Superiority Blue	#72A0C1	45%	63%	76%	205°	39%	60%	41%	76%
Alabama Crimson	#AF002A	69%	19%	16%	346°	61%	43%	100%	69%
Alabaster	#F2F0E6	95%	94%	90%	346°	32%	93%	100%	69%
Alice Blue	#F0F8FF	94%	97%	100%	208°	100%	97%	6%	100%
Alien Armpit	#84DE02	52%	87%	1%	85°	98%	44%	99%	87%
Alizarin Crimson	#E32636	89%	15%	21%	355°	77%	52%	83%	89%
Alloy Orange	#C46210	77%	38%	6%	27°	85%	42%	92%	77%
Almond	#EFDECD	94%	87%	80%	30°	52%	87%	14%	94%
Amaranth	#E52B50	90%	17%	31%	348°	78%	53%	81%	90%
Amaranth Deep Purple	#9F2B68	62%	17%	41%	328°	57%	40%	73%	62%
Amaranth Pink	#F19CBB	95%	61%	73%	338°	75%	78%	35%	95%
Amaranth Purple	#AB274F	67%	15%	31%	342°	63%	41%	77%	67%
Amaranth Red	#D3212D	83%	13%	18%	356°	73%	48%	84%	83%
Amazon	#3B7A57	23%	48%	34%	147°	35%	35%	52%	48%
Amazonite	#00C4B0	0%	77%	69%	174°	100%	38%	84%	83%
Amber	#FFBF00	100%	75%	0%	45°	100%	50%	100%	100%
Amber (SAE/ECE)	#FF7E00	100%	49%	0%	30°	100%	50%	100%	100%
American Blue	#3B3B6D	23%	23%	43%	240°	30%	33%	46%	43%
